;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 02/06/2025 13:22:47
;----------------------------------------------

;Address Opcode 	ASM
0x0185	0x3005      	MOVLW      5
0x0186	0x0219      	SUBWF      WordToStr_len_L0, 0
0x0187	0x1803      	BTFSC      STATUS, 0
0x0188	0x2990      	GOTO       L_WordToStr12
;__Lib_Conversions.c,104 :: 		
0x0189	0x0819      	MOVF       WordToStr_len_L0, 0
0x018A	0x0718      	ADDWF      FARG_WordToStr_output, 0
0x018B	0x0084      	MOVWF      FSR
0x018C	0x3020      	MOVLW      32
0x018D	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,103 :: 		
0x018E	0x0A99      	INCF       WordToStr_len_L0, 1
;__Lib_Conversions.c,104 :: 		
0x018F	0x2985      	GOTO       L_WordToStr11
L_WordToStr12:
;__Lib_Conversions.c,105 :: 		
0x0190	0x0819      	MOVF       WordToStr_len_L0, 0
0x0191	0x0718      	ADDWF      FARG_WordToStr_output, 0
0x0192	0x0084      	MOVWF      FSR
0x0193	0x0180      	CLRF       INDF
0x0194	0x0399      	DECF       WordToStr_len_L0, 1
;__Lib_Conversions.c,107 :: 		
L_WordToStr14:
;__Lib_Conversions.c,108 :: 		
0x0195	0x0819      	MOVF       WordToStr_len_L0, 0
0x0196	0x0718      	ADDWF      FARG_WordToStr_output, 0
0x0197	0x009A      	MOVWF      FLOC__WordToStr
0x0198	0x300A      	MOVLW      10
0x0199	0x00F4      	MOVWF      R4
0x019A	0x01F5      	CLRF       R4+1
0x019B	0x0816      	MOVF       FARG_WordToStr_input, 0
0x019C	0x00F0      	MOVWF      R0
0x019D	0x0817      	MOVF       FARG_WordToStr_input+1, 0
0x019E	0x00F1      	MOVWF      R0+1
0x019F	0x20EB      	CALL       _Div_16X16_U
0x01A0	0x0878      	MOVF       R8, 0
0x01A1	0x00F0      	MOVWF      R0
0x01A2	0x0879      	MOVF       R8+1, 0
0x01A3	0x00F1      	MOVWF      R0+1
0x01A4	0x3030      	MOVLW      48
0x01A5	0x07F0      	ADDWF      R0, 1
0x01A6	0x1703      	BSF        STATUS, 6
0x01A7	0x081A      	MOVF       FLOC__WordToStr, 0
0x01A8	0x0084      	MOVWF      FSR
0x01A9	0x0870      	MOVF       R0, 0
0x01AA	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,109 :: 		
0x01AB	0x300A      	MOVLW      10
0x01AC	0x00F4      	MOVWF      R4
0x01AD	0x01F5      	CLRF       R4+1
0x01AE	0x0816      	MOVF       FARG_WordToStr_input, 0
0x01AF	0x00F0      	MOVWF      R0
0x01B0	0x0817      	MOVF       FARG_WordToStr_input+1, 0
0x01B1	0x00F1      	MOVWF      R0+1
0x01B2	0x20EB      	CALL       _Div_16X16_U
0x01B3	0x0870      	MOVF       R0, 0
0x01B4	0x1703      	BSF        STATUS, 6
0x01B5	0x0096      	MOVWF      FARG_WordToStr_input
0x01B6	0x0871      	MOVF       R0+1, 0
0x01B7	0x0097      	MOVWF      FARG_WordToStr_input+1
;__Lib_Conversions.c,110 :: 		
0x01B8	0x3000      	MOVLW      0
0x01B9	0x0671      	XORWF      R0+1, 0
0x01BA	0x1D03      	BTFSS      STATUS, 2
0x01BB	0x29BE      	GOTO       L__WordToStr379
0x01BC	0x3000      	MOVLW      0
0x01BD	0x0670      	XORWF      R0, 0
L__WordToStr379:
0x01BE	0x1D03      	BTFSS      STATUS, 2
0x01BF	0x29C1      	GOTO       L_WordToStr16
;__Lib_Conversions.c,111 :: 		
0x01C0	0x29C3      	GOTO       L_WordToStr15
L_WordToStr16:
;__Lib_Conversions.c,112 :: 		
0x01C1	0x0399      	DECF       WordToStr_len_L0, 1
;__Lib_Conversions.c,113 :: 		
0x01C2	0x2995      	GOTO       L_WordToStr14
L_WordToStr15:
;__Lib_Conversions.c,114 :: 		
L_end_WordToStr:
0x01C3	0x0008      	RETURN
; end of _WordToStr
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x01C4	0x29D6      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x01C5	0x3080      	MOVLW      128
0x01C6	0x1283      	BCF        STATUS, 5
0x01C7	0x1703      	BSF        STATUS, 6
0x01C8	0x0096      	MOVWF      FARG_Lcd_Out_row
0x01C9	0x29E9      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x01CA	0x30C0      	MOVLW      192
0x01CB	0x0096      	MOVWF      FARG_Lcd_Out_row
0x01CC	0x29E9      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x01CD	0x3094      	MOVLW      148
0x01CE	0x0096      	MOVWF      FARG_Lcd_Out_row
0x01CF	0x29E9      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x01D0	0x30D4      	MOVLW      212
0x01D1	0x0096      	MOVWF      FARG_Lcd_Out_row
0x01D2	0x29E9      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x01D3	0x3080      	MOVLW      128
0x01D4	0x0096      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x01D5	0x29E9      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x01D6	0x1283      	BCF        STATUS, 5
0x01D7	0x1703      	BSF        STATUS, 6
0x01D8	0x0816      	MOVF       FARG_Lcd_Out_row, 0
0x01D9	0x3A01      	XORLW      1
0x01DA	0x1903      	BTFSC      STATUS, 2
0x01DB	0x29C5      	GOTO       L_Lcd_Out13
0x01DC	0x0816      	MOVF       FARG_Lcd_Out_row, 0
0x01DD	0x3A02      	XORLW      2
0x01DE	0x1903      	BTFSC      STATUS, 2
0x01DF	0x29CA      	GOTO       L_Lcd_Out14
0x01E0	0x0816      	MOVF       FARG_Lcd_Out_row, 0
0x01E1	0x3A03      	XORLW      3
0x01E2	0x1903      	BTFSC      STATUS, 2
0x01E3	0x29CD      	GOTO       L_Lcd_Out15
0x01E4	0x0816      	MOVF       FARG_Lcd_Out_row, 0
0x01E5	0x3A04      	XORLW      4
0x01E6	0x1903      	BTFSC      STATUS, 2
0x01E7	0x29D0      	GOTO       L_Lcd_Out16
0x01E8	0x29D3      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x01E9	0x0317      	DECF       FARG_Lcd_Out_column, 0
0x01EA	0x00F0      	MOVWF      R0
0x01EB	0x0816      	MOVF       FARG_Lcd_Out_row, 0
0x01EC	0x07F0      	ADDWF      R0, 1
0x01ED	0x0870      	MOVF       R0, 0
0x01EE	0x0096      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x01EF	0x0870      	MOVF       R0, 0
0x01F0	0x009C      	MOVWF      FARG_Lcd_Cmd_out_char
0x01F1	0x20A8      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x01F2	0x116E      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x01F3	0x1703      	BSF        STATUS, 6
0x01F4	0x0199      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x01F5	0x0819      	MOVF       Lcd_Out_i_L0, 0
0x01F6	0x0718      	ADDWF      FARG_Lcd_Out_text, 0
0x01F7	0x0084      	MOVWF      FSR
0x01F8	0x0800      	MOVF       INDF, 0
0x01F9	0x1903      	BTFSC      STATUS, 2
0x01FA	0x2A04      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x01FB	0x0819      	MOVF       Lcd_Out_i_L0, 0
0x01FC	0x0718      	ADDWF      FARG_Lcd_Out_text, 0
0x01FD	0x0084      	MOVWF      FSR
0x01FE	0x0800      	MOVF       INDF, 0
0x01FF	0x009B      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0200	0x2108      	CALL       _Lcd_Chr_CP
0x0201	0x1703      	BSF        STATUS, 6
0x0202	0x0A99      	INCF       Lcd_Out_i_L0, 1
0x0203	0x29F5      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x0204	0x1303      	BCF        STATUS, 6
0x0205	0x156E      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x0206	0x0008      	RETURN
; end of _Lcd_Out
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x0207	0x3015      	MOVLW      21
0x0208	0x1283      	BCF        STATUS, 5
0x0209	0x1303      	BCF        STATUS, 6
0x020A	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x020B	0x0BFD      	DECFSZ     R13, 1
0x020C	0x2A0B      	GOTO       L_Delay_22us1
0x020D	0x0000      	NOP
0x020E	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x020F	0x0008      	RETURN
; end of _Delay_22us
_Mul_16X16_U:
;__Lib_Math.c,136 :: 		
;__Lib_Math.c,143 :: 		
0x0210	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,144 :: 		
0x0211	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,145 :: 		
0x0212	0x01FB      	CLRF       R11
;__Lib_Math.c,146 :: 		
0x0213	0x01FA      	CLRF       R10
;__Lib_Math.c,147 :: 		
0x0214	0x01F9      	CLRF       R9
;__Lib_Math.c,148 :: 		
0x0215	0x3080      	MOVLW      128
;__Lib_Math.c,149 :: 		
0x0216	0x00F8      	MOVWF      R8
;__Lib_Math.c,150 :: 		
0x0217	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,151 :: 		
0x0218	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,152 :: 		
0x0219	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,153 :: 		
0x021A	0x2A24      	GOTO       $+10
;__Lib_Math.c,154 :: 		
0x021B	0x0874      	MOVF       R4, 0
;__Lib_Math.c,155 :: 		
0x021C	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,156 :: 		
0x021D	0x0875      	MOVF       R5, 0
;__Lib_Math.c,157 :: 		
0x021E	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,158 :: 		
0x021F	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,159 :: 		
0x0220	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,160 :: 		
0x0221	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,161 :: 		
0x0222	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,162 :: 		
0x0223	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,163 :: 		
0x0224	0x1FF0      	BTFSS      R0, 7
;__Lib_Math.c,164 :: 		
0x0225	0x2A2C      	GOTO       $+7
;__Lib_Math.c,165 :: 		
0x0226	0x0874      	MOVF       R4, 0
;__Lib_Math.c,166 :: 		
0x0227	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,167 :: 		
0x0228	0x0875      	MOVF       R5, 0
;__Lib_Math.c,168 :: 		
0x0229	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,169 :: 		
0x022A	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,170 :: 		
0x022B	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,171 :: 		
0x022C	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,172 :: 		
0x022D	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,173 :: 		
0x022E	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,174 :: 		
0x022F	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,175 :: 		
0x0230	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,176 :: 		
0x0231	0x2A17      	GOTO       $-26
;__Lib_Math.c,177 :: 		
0x0232	0x087B      	MOVF       R11, 0
;__Lib_Math.c,178 :: 		
0x0233	0x00F3      	MOVWF      R3
;__Lib_Math.c,179 :: 		
0x0234	0x087A      	MOVF       R10, 0
;__Lib_Math.c,180 :: 		
0x0235	0x00F2      	MOVWF      R2
;__Lib_Math.c,181 :: 		
0x0236	0x0879      	MOVF       R9, 0
;__Lib_Math.c,182 :: 		
0x0237	0x00F1      	MOVWF      R1
;__Lib_Math.c,183 :: 		
0x0238	0x0878      	MOVF       R8, 0
;__Lib_Math.c,184 :: 		
0x0239	0x00F0      	MOVWF      R0
;__Lib_Math.c,187 :: 		
L_end_Mul_16X16_U:
0x023A	0x0008      	RETURN
; end of _Mul_16X16_U
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x023B	0x1683      	BSF        STATUS, 5
0x023C	0x1303      	BCF        STATUS, 6
0x023D	0x1286      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x023E	0x1206      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x023F	0x1006      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x0240	0x1086      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x0241	0x1106      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x0242	0x1186      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x0243	0x1283      	BCF        STATUS, 5
0x0244	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x0245	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x0246	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x0247	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x0248	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x0249	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x024A	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x024B	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x024C	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x024D	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x024E	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x024F	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x0250	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0251	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x0252	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x0253	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x0254	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0255	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x0256	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0257	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x0258	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x0259	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x025A	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x025B	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x025C	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x025D	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x025E	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x025F	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0260	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0261	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x0262	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0263	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x0264	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x0265	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0266	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0267	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x0268	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x0269	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x026A	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x026B	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x026C	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x026D	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x026E	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x026F	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0270	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0271	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0272	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0273	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0274	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0275	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0276	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x0277	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x0278	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x0279	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x027A	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x027B	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x027C	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x027D	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x027E	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x027F	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0280	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0281	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0282	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0283	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x0284	0x208F      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x0285	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x0286	0x2093      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x0287	0x156E      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x0288	0x0008      	RETURN
; end of _Lcd_Init
_ADC_Init:
;__Lib_ADC_A_C.c,19 :: 		
;__Lib_ADC_A_C.c,20 :: 		
0x0289	0x30FF      	MOVLW      _ADC_Get_Sample
0x028A	0x1683      	BSF        STATUS, 5
0x028B	0x1303      	BCF        STATUS, 6
0x028C	0x00D1      	MOVWF      _ADC_Get_Sample_Ptr
0x028D	0x30FF      	MOVLW      hi_addr(_ADC_Get_Sample)
0x028E	0x00D2      	MOVWF      _ADC_Get_Sample_Ptr+1
0x028F	0x30FF      	MOVLW      FARG_ADC_Get_Sample_channel
0x0290	0x00D3      	MOVWF      _ADC_Get_Sample_Ptr+2
0x0291	0x30FF      	MOVLW      hi_addr(FARG_ADC_Get_Sample_channel)
;__Lib_ADC_A_C.c,22 :: 		
0x0292	0x1283      	BCF        STATUS, 5
0x0293	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,23 :: 		
0x0294	0x30C0      	MOVLW      192
0x0295	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,24 :: 		
0x0296	0x0959      	COMF       _vref_mask, 0
0x0297	0x00F0      	MOVWF      R0
0x0298	0x0870      	MOVF       R0, 0
0x0299	0x1683      	BSF        STATUS, 5
0x029A	0x059F      	ANDWF      ADCON1, 1
;__Lib_ADC_A_C.c,25 :: 		
0x029B	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,26 :: 		
0x029C	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,29 :: 		
0x029D	0x1283      	BCF        STATUS, 5
0x029E	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,30 :: 		
L_end_ADC_Init:
0x029F	0x0008      	RETURN
; end of _ADC_Init
_check_dht_response:
;projet.c,145 :: 		unsigned char check_dht_response(){
;projet.c,146 :: 		delay_us(40);
0x02A0	0x3027      	MOVLW      39
0x02A1	0x1283      	BCF        STATUS, 5
0x02A2	0x1303      	BCF        STATUS, 6
0x02A3	0x00FD      	MOVWF      R13
L_check_dht_response12:
0x02A4	0x0BFD      	DECFSZ     R13, 1
0x02A5	0x2AA4      	GOTO       L_check_dht_response12
0x02A6	0x0000      	NOP
0x02A7	0x0000      	NOP
;projet.c,147 :: 		if (pin_dht == 0){
0x02A8	0x1888      	BTFSC      PORTD, 1
0x02A9	0x2ABB      	GOTO       L_check_dht_response13
;projet.c,148 :: 		delay_us(80);
0x02AA	0x304F      	MOVLW      79
0x02AB	0x00FD      	MOVWF      R13
L_check_dht_response14:
0x02AC	0x0BFD      	DECFSZ     R13, 1
0x02AD	0x2AAC      	GOTO       L_check_dht_response14
0x02AE	0x0000      	NOP
0x02AF	0x0000      	NOP
;projet.c,149 :: 		if (pin_dht == 1){
0x02B0	0x1C88      	BTFSS      PORTD, 1
0x02B1	0x2ABB      	GOTO       L_check_dht_response15
;projet.c,150 :: 		delay_us(40);
0x02B2	0x3027      	MOVLW      39
0x02B3	0x00FD      	MOVWF      R13
L_check_dht_response16:
0x02B4	0x0BFD      	DECFSZ     R13, 1
0x02B5	0x2AB4      	GOTO       L_check_dht_response16
0x02B6	0x0000      	NOP
0x02B7	0x0000      	NOP
;projet.c,151 :: 		return 1;
0x02B8	0x3001      	MOVLW      1
0x02B9	0x00F0      	MOVWF      R0
0x02BA	0x2ABC      	GOTO       L_end_check_dht_response
;projet.c,152 :: 		}
L_check_dht_response15:
;projet.c,153 :: 		}
L_check_dht_response13:
;projet.c,154 :: 		return 0;
0x02BB	0x01F0      	CLRF       R0
;projet.c,155 :: 		}
L_end_check_dht_response:
0x02BC	0x0008      	RETURN
; end of _check_dht_response
_ADC_Read:
;__Lib_ADC_A_C.c,68 :: 		
;__Lib_ADC_A_C.c,70 :: 		
0x02BD	0x1283      	BCF        STATUS, 5
0x02BE	0x1303      	BCF        STATUS, 6
0x02BF	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,71 :: 		
0x02C0	0x30C0      	MOVLW      192
0x02C1	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,72 :: 		
0x02C2	0x0959      	COMF       _vref_mask, 0
0x02C3	0x00F0      	MOVWF      R0
0x02C4	0x0870      	MOVF       R0, 0
0x02C5	0x1683      	BSF        STATUS, 5
0x02C6	0x059F      	ANDWF      ADCON1, 1
;__Lib_ADC_A_C.c,73 :: 		
0x02C7	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,74 :: 		
0x02C8	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,75 :: 		
0x02C9	0x086D      	MOVF       FARG_ADC_Read_channel, 0
0x02CA	0x00F0      	MOVWF      R0
0x02CB	0x0DF0      	RLF        R0, 1
0x02CC	0x1070      	BCF        R0, 0
0x02CD	0x0DF0      	RLF        R0, 1
0x02CE	0x1070      	BCF        R0, 0
0x02CF	0x0DF0      	RLF        R0, 1
0x02D0	0x1070      	BCF        R0, 0
0x02D1	0x0870      	MOVF       R0, 0
0x02D2	0x1283      	BCF        STATUS, 5
0x02D3	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,78 :: 		
0x02D4	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,81 :: 		
0x02D5	0x2207      	CALL       _Delay_22us
;__Lib_ADC_A_C.c,84 :: 		
0x02D6	0x151F      	BSF        ADCON0, 2
;__Lib_ADC_A_C.c,87 :: 		
L_ADC_Read2:
0x02D7	0x1D1F      	BTFSS      ADCON0, 2
0x02D8	0x2ADB      	GOTO       L_ADC_Read3
;__Lib_ADC_A_C.c,88 :: 		
0x02D9	0x0000      	NOP
0x02DA	0x2AD7      	GOTO       L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_C.c,91 :: 		
0x02DB	0x101F      	BCF        ADCON0, 0
;__Lib_ADC_A_C.c,94 :: 		
0x02DC	0x081E      	MOVF       ADRESH, 0
0x02DD	0x00F1      	MOVWF      R0+1
0x02DE	0x01F0      	CLRF       R0
0x02DF	0x1683      	BSF        STATUS, 5
0x02E0	0x081E      	MOVF       ADRESL, 0
0x02E1	0x04F0      	IORWF      R0, 1
0x02E2	0x3000      	MOVLW      0
0x02E3	0x04F1      	IORWF      R0+1, 1
;__Lib_ADC_A_C.c,95 :: 		
L_end_ADC_Read:
0x02E4	0x0008      	RETURN
; end of _ADC_Read
_Ltrim:
;__Lib_Conversions.c,421 :: 		
;__Lib_Conversions.c,425 :: 		
0x02E5	0x1683      	BSF        STATUS, 5
0x02E6	0x1303      	BCF        STATUS, 6
0x02E7	0x01EE      	CLRF       Ltrim_trimmed_L0
0x02E8	0x01EF      	CLRF       Ltrim_trimmed_L0+1
;__Lib_Conversions.c,426 :: 		
0x02E9	0x086D      	MOVF       FARG_Ltrim_string, 0
0x02EA	0x00F2      	MOVWF      R2
;__Lib_Conversions.c,427 :: 		
